🎬电影剧集,#genre#
三国演义1-21,http://192.168.7.1:1208/udp/239.9.9.9:8522
三国演义22-42,http://192.168.7.1:1208/udp/239.9.9.9:8523
三国演义43-63,http://192.168.7.1:1208/udp/239.9.9.9:8524
三国演义64-84,http://192.168.7.1:1208/udp/239.9.9.9:8525
天龙八部1-23,http://192.168.7.1:1208/udp/239.9.9.9:8528
天龙八部24-45,http://192.168.7.1:1208/udp/239.9.9.9:8529
西游记1-12,http://192.168.7.1:1208/udp/239.9.9.9:8526
西游记13-25,http://192.168.7.1:1208/udp/239.9.9.9:8527
🎥动画频道,#genre#
汪汪队立大功1-2,http://192.168.7.1:1208/udp/239.9.9.9:8501
汪汪队立大功3-4,http://192.168.7.1:1208/udp/239.9.9.9:8502
汪汪队立大功5-6,http://192.168.7.1:1208/udp/239.9.9.9:8503
汪汪队立大功7,http://192.168.7.1:1208/udp/239.9.9.9:8504
熊出没,http://192.168.7.1:1208/udp/239.9.9.9:8507
熊出没之春日对对碰,http://192.168.7.1:1208/udp/239.9.9.9:8508
熊出没之冬日乐翻天,http://192.168.7.1:1208/udp/239.9.9.9:8511
熊出没之怪兽计划1,http://192.168.7.1:1208/udp/239.9.9.9:8514
熊出没之怪兽计划2,http://192.168.7.1:1208/udp/239.9.9.9:8515
熊出没之秋日团团转,http://192.168.7.1:1208/udp/239.9.9.9:8510
熊出没之探险日记1,http://192.168.7.1:1208/udp/239.9.9.9:8516
熊出没之探险日记2,http://192.168.7.1:1208/udp/239.9.9.9:8517
熊出没之夏日连连看,http://192.168.7.1:1208/udp/239.9.9.9:8509
熊熊帮帮团,http://192.168.7.1:1208/udp/239.9.9.9:8513
熊熊乐园 第1季,http://192.168.7.1:1208/udp/239.9.9.9:8518
熊熊乐园 第2季,http://192.168.7.1:1208/udp/239.9.9.9:8519
熊熊乐园 第3季,http://192.168.7.1:1208/udp/239.9.9.9:8520
熊熊乐园 第4季,http://192.168.7.1:1208/udp/239.9.9.9:8521
小猪佩奇1-2,http://192.168.7.1:1208/udp/239.9.9.9:8505
小猪佩奇3-8,http://192.168.7.1:1208/udp/239.9.9.9:8506
赛罗奥特曼,http://192.168.7.1:1208/udp/239.9.9.9:8530
捷德奥特曼,http://192.168.7.1:1208/udp/239.9.9.9:8531
